Index: 24 | Entry: bacʼohya· | Absolutive: bacʼo hya· | Generated Absolutive: bacʼohya·
Index: 725 | Entry: *ca·sqʰac | Absolutive: ca·sqʰaʔ | Generated Absolutive: casqʰaʔ
Index: 752 | Entry: *cihkocihkotad | Absolutive: cihkocikota·du | Generated Absolutive: cihkocihkota·du
Index: 770 | Entry: *cihpʰohpʰo | Absolutive: cihpʰohpʰoʔ | Generated Absolutive: cihpʰohpʰow
Index: 795 | Entry: *cihwisʼ | Absolutive: cihwiʔ | Generated Absolutive: cihwisʼ
Index: 807 | Entry: ciriyo·n | Absolutive: ciriyo·n | Generated Absolutive: ciriyon
Index: 810 | Entry: *citayʔta | Absolutive: cihtayʔtaw | Generated Absolutive: citayʔtaw
Index: 814 | Entry: *ciṭiṭi·ma | Absolutive: ciṭiṭimʔ | Generated Absolutive: ciṭiṭi·maw
Index: 828 | Entry: *ciʔdo | Absolutive: ciʔdo | Generated Absolutive: ciʔdow
Index: 847 | Entry: *cohkocohkotad | Absolutive: cohkocokota·du | Generated Absolutive: cohkocohkota·du
Index: 862 | Entry: *cohpola·tad | Absolutive: cohpolha·ta·du | Generated Absolutive: cohpola·tadu
Index: 960 | Entry: *cuhpʰa·šma | Absolutive: cuhpʰaš | Generated Absolutive: cuhpʰašmaw
Index: 965 | Entry: *cuhqʰayad | Absolutive: cuhqʰayadu | Generated Absolutive: cuhqʰaya·du
Index: 975 | Entry: *cuhtecʼ | Absolutive: cuhtenʔ | Generated Absolutive: cuhteʔ
Index: 979 | Entry: *cuhtsitad | Absolutive: cuhtsitadu | Generated Absolutive: cuhtsita·du
Index: 980 | Entry: *cuhtʰuhtʰu | Absolutive: cuhtʰuʔ | Generated Absolutive: cuhtʰuhtʰuw
Index: 983 | Entry: *cuhṭʰahṭʰac | Absolutive: cuhṭʰahṭʰaw | Generated Absolutive: cuhṭʰahṭʰaʔ
Index: 984 | Entry: cuhṭʰe | Absolutive: cuhṭʰew | Generated Absolutive: cuhṭʰe
Index: 988 | Entry: cuhu lahwal | Absolutive: cuhulahwal | Generated Absolutive: cuhu lahwal
Index: 997 | Entry: *cukʼahci | Absolutive: cuʔkʼahciw | Generated Absolutive: cukʼahciw
Index: 1003 | Entry: *cukʼaṭʰic | Absolutive: cukʼaṭʰiw | Generated Absolutive: cukʼaṭʰiʔ
Index: 1024 | Entry: *cupot | Absolutive: copoʔ | Generated Absolutive: cupoʔ
Index: 1048 | Entry: *cutayʔta | Absolutive: cuhtayʔtaw | Generated Absolutive: cutayʔtaw
Index: 1161 | Entry: *cʰiʔcʼam | Absolutive: cʰiʔcʼaw | Generated Absolutive: cʰiʔcʼamʔ
Index: 1210 | Entry: *cʰula·tad | Absolutive: cʰula·tadu | Generated Absolutive: cʰulata·du
Index: 1317 | Entry: *dahkela·tad | Absolutive: dahkelata·du | Generated Absolutive: dahkela·tadu
Index: 1319 | Entry: *dahkodahkotad | Absolutive: dahkodakota·du | Generated Absolutive: dahkodahkota·du
Index: 1326 | Entry: *dahkʰiṭʼcicʼ | Absolutive: dahkʰiʔ | Generated Absolutive: dahkʰiṭʼciʔ
Index: 1348 | Entry: *dahpana·tad | Absolutive: dapana·tadu | Generated Absolutive: dahpana·tadu
Index: 1353 | Entry: *dahpʰaqʼ | Absolutive: dahpʰaqʼciw | Generated Absolutive: dahpʰaʔ
Index: 1375 | Entry: *dahsewacʼ | Absolutive: dahsewacʼ | Generated Absolutive: dahsewaʔ
Index: 1376 | Entry: *dahsewad | Absolutive: dahsewadu | Generated Absolutive: dahsewa·du
Index: 1380 | Entry: *dahsisma | Absolutive: dahsis | Generated Absolutive: dahsismaw
Index: 1424 | Entry: *dakʰe·d | Absolutive: dukʰe·du | Generated Absolutive: dakʰe·du
Index: 1427 | Entry: *dakʼahci | Absolutive: daʔkʼahciw | Generated Absolutive: dakʼahciw
Index: 1499 | Entry: *datayʔta | Absolutive: dahtayʔtaw | Generated Absolutive: datayʔtaw
Index: 1514 | Entry: *daṭʰewad | Absolutive: daṭʰewadu | Generated Absolutive: daṭʰewa·du
Index: 1517 | Entry: *daṭʼaqʼa·t | Absolutive: daʔṭʼaqʼa·ʔ | Generated Absolutive: daṭʼaqʼaʔ
Index: 1560 | Entry: *daʔtʼadatʼad | Absolutive: daʔtʼadatʼata·du | Generated Absolutive: daʔtʼadatʼadu
Index: 1596 | Entry: *da·lahqa | Absolutive: dalahqaw | Generated Absolutive: da·lahqaw
Index: 1632 | Entry: *dicʰula·taq | Absolutive: dicʰu;á·taʔ | Generated Absolutive: dicʰula·taʔ
Index: 1633 | Entry: *dicʰulta | Absolutive: dicʰúltaw | Generated Absolutive: dicʰultaw
Index: 1635 | Entry: *dicʼah | Absolutive: dicʼah | Generated Absolutive: dicʼaʔ
Index: 1640 | Entry: *dicʼi·ṭaq | Absolutive: dicʼiṭaʔ | Generated Absolutive: dicʼi·ṭaʔ
Index: 1661 | Entry: *dihkela·tad | Absolutive: dihkelata·du | Generated Absolutive: dihkela·tadu
Index: 1678 | Entry: *dihpitʼci | Absolutive: dihpitʼ | Generated Absolutive: dihpitʼciw
Index: 1681 | Entry: *dihpʰa·šma | Absolutive: dihpʰaš | Generated Absolutive: dihpʰašmaw
Index: 1700 | Entry: *dihsihsi | Absolutive: dihsiw | Generated Absolutive: dihsihsiw
Index: 1702 | Entry: *dihsimqa | Absolutive: dihsimʔ | Generated Absolutive: dihsimqaw
Index: 1714 | Entry: *dihṭʰe | Absolutive: dihṭʰe | Generated Absolutive: dihṭʰew
Index: 1723 | Entry: *dikʼahci | Absolutive: diʔkʼahciw | Generated Absolutive: dikʼahciw
Index: 1758 | Entry: *ditayʔta | Absolutive: dihtayʔtaw | Generated Absolutive: ditayʔtaw
Index: 1770 | Entry: *diʔcʼabatad | Absolutive: diʔcʼaba·tadu | Generated Absolutive: diʔcʼabatadu
Index: 1773 | Entry: *diʔcʼenhma | Absolutive: diʔcʼenmaw | Generated Absolutive: diʔcʼenhmaw
Index: 1783 | Entry: *diʔkʼanh | Absolutive: diʔkʼanh- | Generated Absolutive: diʔkʼanʔ
Index: 1806 | Entry: *di·cʼid | Absolutive: di·cʼidu | Generated Absolutive: dicʼi·du
Index: 1808 | Entry: *di·sqʰac | Absolutive: di·sqʰaʔ | Generated Absolutive: disqʰaʔ
Index: 1831 | Entry: *dohkodohkotad | Absolutive: dohkodokota·du | Generated Absolutive: dohkodohkota·du
Index: 1842 | Entry: *dohpola·tad | Absolutive: dohpolha·ta·du | Generated Absolutive: dohpola·tadu
Index: 1846 | Entry: *dohqoyqa | Absolutive: dohqo·qaw | Generated Absolutive: dohqoyqaw
Index: 1879 | Entry: *dosokʼot | Absolutive: dosokʼotʔ | Generated Absolutive: dosokʼoʔ
Index: 1893 | Entry: *doʔkʼoyad | Absolutive: doʔkʼoyʔ | Generated Absolutive: doʔkʼoya·du
Index: 1903 | Entry: *doʔqʼoʔdiwad | Absolutive: doʔqʼoʔdowa·du | Generated Absolutive: doʔqʼoʔdiwa·du
Index: 1907 | Entry: *doʔṭʼo· | Absolutive: doʔṭʼo· | Generated Absolutive: doʔṭʼow
Index: 1943 | Entry: *ducʼoqʰot | Absolutive: docʼoqʰoʔ | Generated Absolutive: ducʼoqʰoʔ
Index: 1951 | Entry: *duhcʰaducʰatad | Absolutive: duhcʰaducʰaw | Generated Absolutive: duhcʰaducʰata·du
Index: 1959 | Entry: *duhkela·tad | Absolutive: duhkelata·du | Generated Absolutive: duhkela·tadu
Index: 1964 | Entry: *duhkʰeyʔcicʼ | Absolutive: duhkʰecyʔciʔ | Generated Absolutive: duhkʰeyʔciʔ
Index: 1976 | Entry: *duhmudumutad | Absolutive: duhmudumutadu | Generated Absolutive: duhmudumuta·du
Index: 1982 | Entry: *duhpitʼci | Absolutive: duhpitʼci | Generated Absolutive: duhpitʼciw
Index: 1983 | Entry: *duhpʰa·šma | Absolutive: duhpʰaš | Generated Absolutive: duhpʰašmaw
Index: 1985 | Entry: *duhpʰihpʰi | Absolutive: duhpʰihpʰiʔ | Generated Absolutive: duhpʰihpʰiw
Index: 2008 | Entry: *duhsihsi | Absolutive: duhsiw | Generated Absolutive: duhsihsiw
Index: 2028 | Entry: *duhṭʰahṭʰac | Absolutive: duhṭʰahṭʰaw | Generated Absolutive: duhṭʰahṭʰaʔ
Index: 2037 | Entry: *duhyew | Absolutive: duhyew | Generated Absolutive: duhyewʔ
Index: 2052 | Entry: *dukʼahci | Absolutive: duʔkʼahciw | Generated Absolutive: dukʼahciw
Index: 2061 | Entry: *dukʼuyta | Absolutive: dukʼuyʔtaw | Generated Absolutive: dukʼuytaw
Index: 2063 | Entry: dul qʰaʔa·li | Absolutive: dulqʰaʔa·li | Generated Absolutive: dul qʰaʔa·li
Index: 2067 | Entry: *dulaṭʼa·li | Absolutive: dulaṭʼa·li | Generated Absolutive: dulaṭʼa·liw
Index: 2070 | Entry: *dulucʼu· | Absolutive: dalucʼuw | Generated Absolutive: dulucʼuw
Index: 2084 | Entry: *duqʰaltacʼ | Absolutive: duqʰaltacʼ | Generated Absolutive: duqʰaltaʔ
Index: 2118 | Entry: *dutʼehnay | Absolutive: duʔtʼehniw | Generated Absolutive: dutʼehnayʔ
Index: 2181 | Entry: *duʔyaqacʼ | Absolutive: duʔyaqacʼ | Generated Absolutive: duʔyaqaʔ
Index: 2182 | Entry: *duʔyaqad | Absolutive: duʔyaqadu | Generated Absolutive: duʔyaqa·du
Index: 2183 | Entry: *duʔya·qacʼ | Absolutive: duʔya·qacʼ | Generated Absolutive: duʔya·qaʔ
Index: 2184 | Entry: *duʔya·qad | Absolutive: duʔya·qadu | Generated Absolutive: duʔyaqa·du
Index: 2185 | Entry: *duʔya·qala | Absolutive: duʔya·qalaw | Generated Absolutive: duʔyaqa·law
Index: 2200 | Entry: *hacʼah | Absolutive: hacʼah | Generated Absolutive: hacʼaʔ
Index: 2213 | Entry: háê | Absolutive: háê | Generated Absolutive: á
Index: 2230 | Entry: *hahpʰohpʰo | Absolutive: hahpohpoyiʔ | Generated Absolutive: hahpʰohpʰow
Index: 2248 | Entry: *hahti | Absolutive: hahtibiʔ | Generated Absolutive: hahtiw
Index: 2266 | Entry: *hakʼahci | Absolutive: haʔkʼahciw | Generated Absolutive: hakʼahciw
Index: 2307 | Entry: *hatayʔta | Absolutive: hahtayʔtaw | Generated Absolutive: hatayʔtaw
Index: 2313 | Entry: *hatohato | Absolutive: hatohato | Generated Absolutive: hatohatow
Index: 2328 | Entry: haʔcʼa | Absolutive: haʔcʼaw | Generated Absolutive: haʔcʼa
Index: 2398 | Entry: *hcoway | Absolutive: cowayʔ co·wayʔ | Generated Absolutive: cowayʔ
Index: 2400 | Entry: *hcʰa | Absolutive: hcʰa | Generated Absolutive: cʰaw
Index: 2419 | Entry: he·cʼ | Absolutive: he·cʼ hecʼ | Generated Absolutive: heʔ
Index: 2469 | Entry: *hihmuhimutad | Absolutive: hihmuhimutadu | Generated Absolutive: hihmuhimuta·du
Index: 2476 | Entry: *hihpitʼci | Absolutive: hihpitʼ | Generated Absolutive: hihpitʼciw
Index: 2481 | Entry: *hihpʰa·šma | Absolutive: hihpʰaš | Generated Absolutive: hihpʰašmaw
Index: 2483 | Entry: *hihpʰihpʰi | Absolutive: hihpʰihpʰiʔ | Generated Absolutive: hihpʰihpʰiw
Index: 2490 | Entry: *hihsisil | Absolutive: hihsisil | Generated Absolutive: hihsisilʔ
Index: 2502 | Entry: *hihtsitad | Absolutive: hihtsitadu | Generated Absolutive: hihtsita·du
Index: 2503 | Entry: *hihtʰihtʰic | Absolutive: hihtʰihtʰiw | Generated Absolutive: hihtʰihtʰiʔ
Index: 2570 | Entry: *hitayʔta | Absolutive: hihtayʔtaw | Generated Absolutive: hitayʔtaw
Index: 2620 | Entry: *hiʔqʼoʔdiwad | Absolutive: hiʔqʼoʔdowa·du | Generated Absolutive: hiʔqʼoʔdiwa·du
Index: 2643 | Entry: *hi·šluc | Absolutive: hi·šluʔ | Generated Absolutive: hišluʔ
Index: 2649 | Entry: *hkʰošcicʼ | Absolutive: košciʔ | Generated Absolutive: kʰošciʔ
Index: 2664 | Entry: hoṭʰe·l | Absolutive: hoṭʰe·l | Generated Absolutive: hoṭʰel
Index: 2667 | Entry: *how do·bic | Absolutive: ho·do·biʔ | Generated Absolutive: how do·biʔ
Index: 2678 | Entry: *hqa | Absolutive: hqa | Generated Absolutive: qaw
Index: 2681 | Entry: hqa cuhse | Absolutive: qacuhse | Generated Absolutive: qa cuhse
Index: 2703 | Entry: *hqʰa cuhcem | Absolutive: qʰacuhcemʔ | Generated Absolutive: qʰa cuhcemʔ
Index: 2704 | Entry: *hqʰa cuhcew | Absolutive: qʰacuhcew | Generated Absolutive: qʰa cuhcewʔ
Index: 2705 | Entry: *hqʰa sʼaqa· | Absolutive: qʰasʼaqa· | Generated Absolutive: qʰa sʼaqaw
Index: 2746 | Entry: huʔuy tol | Absolutive: huʔu·tol | Generated Absolutive: huʔuy tol
Index: 2747 | Entry: *huʔuyma | Absolutive: huʔu·ma | Generated Absolutive: huʔuymaw
Index: 2748 | Entry: huʔuymo | Absolutive: huʔu·mo | Generated Absolutive: huʔuymo
Index: 2757 | Entry: *kacʰiwma | Absolutive: kacʰi·maw | Generated Absolutive: kacʰiwmaw
Index: 2758 | Entry: kafe· | Absolutive: kafe·y | Generated Absolutive: kafe·
Index: 2759 | Entry: kalikakʰ | Absolutive: kalikakʰ | Generated Absolutive: kalikaʔ
Index: 2761 | Entry: *kastika·r | Absolutive: kastika·r | Generated Absolutive: kastikaʔ
Index: 2768 | Entry: kaṭʰo·fla | Absolutive: kaṭʰo·fla | Generated Absolutive: kaṭʰofla
Index: 2769 | Entry: kaṭʰo·flas | Absolutive: kaṭʰo·flas | Generated Absolutive: kaṭʰoflas
Index: 2771 | Entry: kawa·yu hca | Absolutive: kawa·yuhca | Generated Absolutive: kawa·yu hca
Index: 2772 | Entry: kawa·yu hso | Absolutive: kawa·yuhso | Generated Absolutive: kawa·yu hso
Index: 2787 | Entry: kiki·ṭʰ | Absolutive: kiki·ṭʰ | Generated Absolutive: kikiʔ
Index: 2806 | Entry: kʰiwim | Absolutive: kʰiwimʔ | Generated Absolutive: kʰiwim
Index: 2808 | Entry: *kʰiʔbikʰiʔbi | Absolutive: kʰiʔbikʰibiw | Generated Absolutive: kʰiʔbikʰiʔbiw
Index: 2810 | Entry: kʰiʔwiʔwi | Absolutive: kʰiʔwiʔwiw | Generated Absolutive: kʰiʔwiʔwi
Index: 2816 | Entry: kʼana·tad | Absolutive: kʼana·tad | Generated Absolutive: kʼana·taʔ
Index: 2840 | Entry: *kʼolokʼolo | Absolutive: kʼolokʼólow | Generated Absolutive: kʼolokʼolow
Index: 2844 | Entry: kʼopʼkʼopʼ | Absolutive: kʼopʼkʼopʼ | Generated Absolutive: kʼopʼkʼoʔ
Index: 2854 | Entry: lipʰuyhya | Absolutive: lipʰuy hya | Generated Absolutive: lipʰuyhya
Index: 2860 | Entry: liʔši | Absolutive: liʔšiw | Generated Absolutive: liʔši
Index: 2905 | Entry: *macʰi | Absolutive: macʰiʔ | Generated Absolutive: macʰiw
Index: 2909 | Entry: *macʼah | Absolutive: macʼah | Generated Absolutive: macʼaʔ
Index: 2910 | Entry: *macʼahni | Absolutive: macʼahn | Generated Absolutive: macʼahniw
Index: 2950 | Entry: *mahkomahkotad | Absolutive: mahkomakota·du | Generated Absolutive: mahkomahkota·du
Index: 2953 | Entry: *mahkʰiṭʼcicʼ | Absolutive: mahkʰiʔ | Generated Absolutive: mahkʰiṭʼciʔ
Index: 2973 | Entry: *mahqʰamaqʰata·d | Absolutive: mahqʰamaqʰata·d | Generated Absolutive: mahqʰamaqʰata·du
Index: 2974 | Entry: *mahqʰayala | Absolutive: mahqʰaya·law | Generated Absolutive: mahqʰayalaw
Index: 3010 | Entry: makʼahci | Absolutive: maʔkʼahciw | Generated Absolutive: makʼahci
Index: 3048 | Entry: *matayʔta | Absolutive: mahtayʔtaw | Generated Absolutive: matayʔtaw
Index: 3061 | Entry: *matʼehtim | Absolutive: matʼehtimaw | Generated Absolutive: matʼehtimʔ
Index: 3111 | Entry: *maʔṭu | Absolutive: maʔṭʼuw | Generated Absolutive: maʔṭuw
Index: 3115 | Entry: *maʔṭʼawʔduc | Absolutive: maʔṭʼawʔdu | Generated Absolutive: maʔṭʼawʔduʔ
Index: 3122 | Entry: *maʔṭʼuṭʰu | Absolutive: maʔṭʼuṭʰuʔ | Generated Absolutive: maʔṭʼuṭʰuw
Index: 3137 | Entry: mi hcaw | Absolutive: mihcaw | Generated Absolutive: mi hcaw
Index: 3168 | Entry: *mide·cʼ | Absolutive: mide·du | Generated Absolutive: mideʔ
Index: 3172 | Entry: *mihcaway | Absolutive: mihcaway | Generated Absolutive: mihcawayʔ
Index: 3182 | Entry: mihi lahwal | Absolutive: mihilahwal | Generated Absolutive: mihi lahwal
Index: 3183 | Entry: *mihkomihkotad | Absolutive: mihkomikota·du | Generated Absolutive: mihkomihkota·du
Index: 3200 | Entry: *mihpʰa·šma | Absolutive: mihpʰaš | Generated Absolutive: mihpʰašmaw
Index: 3209 | Entry: *mihqʰamiqʰatad | Absolutive: mihqʰamiqʰata·d | Generated Absolutive: mihqʰamiqʰata·du
Index: 3226 | Entry: *mihtecʼ | Absolutive: mihtenʔ | Generated Absolutive: mihteʔ
Index: 3253 | Entry: *mikʼahci | Absolutive: miʔkʼahciw | Generated Absolutive: mikʼahciw
Index: 3255 | Entry: *mikʼahnay | Absolutive: mikʼanayʔ | Generated Absolutive: mikʼahnayʔ
Index: 3286 | Entry: *mitacʼ | Absolutive: miʔ | Generated Absolutive: mitaʔ
Index: 3287 | Entry: *mitad | Absolutive: mitadu | Generated Absolutive: mita·du
Index: 3316 | Entry: *miʔpʼomipʼotad | Absolutive: mipʼomipʼota·du | Generated Absolutive: miʔpʼomipʼota·du
Index: 3344 | Entry: *mobo·kʼibic | Absolutive: moboʔ | Generated Absolutive: mobokʼi·biʔ
Index: 3443 | Entry: *mucʼah | Absolutive: mucʼah | Generated Absolutive: mucʼaʔ
Index: 3444 | Entry: *mucʼahni | Absolutive: mucʼahn | Generated Absolutive: mucʼahniw
Index: 3451 | Entry: *mucʼonta | Absolutive: mocʼontaw | Generated Absolutive: mucʼontaw
Index: 3458 | Entry: *muhcehcec | Absolutive: muhcehcew | Generated Absolutive: muhcehceʔ
Index: 3478 | Entry: *muhmumumutad | Absolutive: muhmumumutadu | Generated Absolutive: muhmumumuta·du
Index: 3485 | Entry: *muhpitʼci | Absolutive: muhpitʼ | Generated Absolutive: muhpitʼciw
Index: 3486 | Entry: *muhpʰaqʼ | Absolutive: muhpʰaqʼciw | Generated Absolutive: muhpʰaʔ
Index: 3487 | Entry: *muhpʰa·šma | Absolutive: muhpʰaš | Generated Absolutive: muhpʰašmaw
Index: 3517 | Entry: *muhṭʰahṭʰac | Absolutive: mihṭʰahṭʰaw | Generated Absolutive: muhṭʰahṭʰaʔ
Index: 3519 | Entry: *muhṭʰimuṭʰitad | Absolutive: muhṭʰmuṭʰita·du | Generated Absolutive: muhṭʰimuṭʰita·du
Index: 3536 | Entry: *mukʰe·duc | Absolutive: mukʰe·dúʔ | Generated Absolutive: mukʰe·duʔ
Index: 3560 | Entry: *mupʰahšim | Absolutive: mupʰahšiw | Generated Absolutive: mupʰahšimʔ
Index: 3594 | Entry: *mušucʼaʔyaw | Absolutive: mušucʼaʔyaw | Generated Absolutive: mušucʼaʔyawʔ
Index: 3595 | Entry: *mutayʔta | Absolutive: muhtayʔtaw | Generated Absolutive: mutayʔtaw
Index: 3657 | Entry: *muʔṭu | Absolutive: muʔṭʼuw | Generated Absolutive: muʔṭuw
Index: 3668 | Entry: *mu·qʰašqʰaša | Absolutive: mu·qʰašqʰaša | Generated Absolutive: mu·qʰašqʰašaw
Index: 3676 | Entry: naṭa ṭʼa·mqa | Absolutive: ṭʼamqaw | Generated Absolutive: naṭa ṭʼamqa
Index: 3680 | Entry: *na·lamecʼ | Absolutive: na·lameʔ | Generated Absolutive: nala·meʔ
Index: 3682 | Entry: na·ncʼa | Absolutive: na·ncʼa | Generated Absolutive: nancʼa
Index: 3695 | Entry: *netʰqa | Absolutive: nétʰqaw | Generated Absolutive: netʰqaw
Index: 3703 | Entry: *ninetad | Absolutive: ninetadu | Generated Absolutive: nineta·du
Index: 3720 | Entry: pacew | Absolutive: pʰacew | Generated Absolutive: pacew
Index: 3728 | Entry: *pahcohco | Absolutive: pahcohco | Generated Absolutive: pahcohcow
Index: 3736 | Entry: *pahkelh | Absolutive: pahkeʔ | Generated Absolutive: pahkelʔ
Index: 3738 | Entry: *pahkopahkotad | Absolutive: pahkopakota·du | Generated Absolutive: pahkopahkota·du
Index: 3780 | Entry: *paki·l | Absolutive: pahkilʔ | Generated Absolutive: pakilʔ
Index: 3793 | Entry: pataro·n | Absolutive: pataro·n | Generated Absolutive: pataron
Index: 3795 | Entry: *patayʔta | Absolutive: pahtayʔtaw | Generated Absolutive: patayʔtaw
Index: 3799 | Entry: patro·n | Absolutive: patro·n | Generated Absolutive: patron
Index: 3800 | Entry: *patʰil | Absolutive: pʰatʰilʔ | Generated Absolutive: patʰilʔ
Index: 3812 | Entry: pa·dre | Absolutive: pa·tere | Generated Absolutive: padre
Index: 3817 | Entry: pe·cʰka | Absolutive: pe·cʰka | Generated Absolutive: pecʰka
Index: 3819 | Entry: pe·m | Absolutive: pe·m | Generated Absolutive: pem
Index: 3837 | Entry: picʰe·l | Absolutive: picʰe·l | Generated Absolutive: picʰel
Index: 3849 | Entry: *pihcopicotad | Absolutive: phicopicota·du | Generated Absolutive: pihcopicota·du
Index: 3861 | Entry: *pihkopihkotad | Absolutive: pihkopikota·du | Generated Absolutive: pihkopihkota·du
Index: 3872 | Entry: *pihlokʼpihlokʼ | Absolutive: pihlokpihloʔ | Generated Absolutive: pihlokʼpihloʔ
Index: 3878 | Entry: *pihpihpi | Absolutive: pihpihpi | Generated Absolutive: pihpihpiw
Index: 3879 | Entry: *pihpitʼci | Absolutive: pihpitʼci | Generated Absolutive: pihpitʼciw
Index: 3942 | Entry: *piliʔli | Absolutive: piliʔli | Generated Absolutive: piliʔliw
Index: 3951 | Entry: *pisalka | Absolutive: pisalksa | Generated Absolutive: pisalkaw
Index: 3975 | Entry: pi·tʰuštʰušu | Absolutive: pi·tʰušpušu | Generated Absolutive: pi·tʰuštʰušu
Index: 3977 | Entry: *pocʰo·l | Absolutive: pocʰo·l | Generated Absolutive: pocʰolʔ
Index: 4014 | Entry: po·tʰlo | Absolutive: po·tʰlo | Generated Absolutive: potʰlo
Index: 4026 | Entry: *puhcʰahcʰac | Absolutive: puhcʰahcʰaw | Generated Absolutive: puhcʰahcʰaʔ
Index: 4029 | Entry: *puhkelh | Absolutive: puhkela·tadu | Generated Absolutive: puhkelʔ
Index: 4040 | Entry: *puhsihsi | Absolutive: puhsiw | Generated Absolutive: puhsihsiw
Index: 4067 | Entry: *pulakʼat | Absolutive: ulakʼaʔ | Generated Absolutive: pulakʼaʔ
Index: 4069 | Entry: punya·l | Absolutive: punya·l | Generated Absolutive: punyal
